p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ECM1	3.17820004299065e-09	3.66707283900245	0.006	0.001	7.80057418551626e-05
SRF	3.18727968743937e-09	0.655638782486418	0.122	0.09	7.82285926485118e-05
SMIM8	3.19187483237683e-09	-0.882310451017499	0.039	0.064	7.8341375885857e-05
PTCH1	3.19716894867016e-09	-1.01148296962372	0.023	0.042	7.84713146761605e-05
SLC16A3	3.21842207917435e-09	0.982488773378851	0.123	0.093	7.89929515112553e-05
POLN	3.21891659427341e-09	1.33386122887228	0.02	0.008	7.90050888898465e-05
ATR	3.22287168676101e-09	-0.516787775496132	0.083	0.115	7.91021626798622e-05
TFPI	3.22716880047279e-09	3.2518647248234	0.006	0.001	7.92076310388042e-05
VMAC	3.25037302569375e-09	-1.33055184529585	0.017	0.035	7.97771555426274e-05
MOAP1	3.30780925453484e-09	-0.389983689003122	0.082	0.113	8.11868703433031e-05
KDM3A	3.36279692843434e-09	0.379101274924321	0.176	0.134	8.25364878114924e-05
AC005614.1	3.41596537215048e-09	-1.95367506107287	0.004	0.016	8.38414540940613e-05
AL928970.1	3.49558390927469e-09	-0.996187346535333	0.01	0.026	8.5795611469238e-05
SORD	3.5425971044524e-09	1.74251622393853	0.026	0.012	8.69495033316797e-05
TCHP	3.54620724655257e-09	-0.578951356818714	0.059	0.088	8.70381106593863e-05
ALAS1	3.56734946708144e-09	0.634259001067421	0.108	0.076	8.75570253200469e-05
KCNE3	3.61451696653366e-09	6.42628464844308	0.004	0	8.87147044266022e-05
LDB2	3.6163140502895e-09	-1.66555096788716	0.004	0.015	8.87588120503055e-05
SPR	3.61916902736868e-09	5.92632309105647	0.004	0	8.88288846077368e-05
AL133492.1	3.6222736387667e-09	5.63230444654375	0.004	0	8.890508418989e-05
KLHDC2	3.65492367176553e-09	-0.399090009005094	0.12	0.154	8.97064465998131e-05
AC022364.1	3.66208059998271e-09	-1.74824152439643	0.005	0.018	8.98821062459755e-05
ARL3	3.67475243323720e-09	0.942948958344241	0.086	0.06	9.01931237213737e-05
CAV1	3.73942306441083e-09	3.25207587585022	0.008	0.001	9.17803996928995e-05
LINC02328	3.74184575648422e-09	-1.33543295324608	0.011	0.027	9.18398622471486e-05
HAX1	3.76476109916831e-09	-0.327163059809613	0.259	0.295	9.2402296417987e-05
TVP23C	3.79151907640474e-09	-1.14996921155628	0.023	0.043	9.30590442112779e-05
KDELR3	3.82008775207513e-09	2.48632415209052	0.012	0.003	9.3760233786932e-05
GNB4	3.8239164522028e-09	1.41926186229028	0.029	0.014	9.38542054028656e-05
ZKSCAN1	3.85260694569477e-09	-0.356550315064128	0.15	0.188	9.45583848751325e-05
PARP1	3.85706765618931e-09	0.710914621326165	0.266	0.233	9.46678685535103e-05
GUCD1	3.85754839966433e-09	0.672956326407438	0.079	0.053	9.46796679213613e-05
TCERG1	3.85892363304732e-09	0.506804710868861	0.221	0.179	9.47134216495135e-05
CDKN2AIP	3.89300516476894e-09	-0.438095325947325	0.183	0.219	9.55499187640889e-05
MTDH	3.89610377600483e-09	0.42115549911237	0.499	0.477	9.56259710782625e-05
AC100827.4	3.89678177097109e-09	2.08661103254854	0.008	0.001	9.56426117867144e-05
METTL5	3.91874337215421e-09	-0.359284981102461	0.125	0.16	9.6181637326153e-05
NSUN3	4.00848687606474e-09	-0.630961084439797	0.038	0.062	9.8384301886133e-05
BPTF	4.04110692431571e-09	0.306019478685543	0.541	0.51	9.91849283504047e-05
PAQR8	4.04249258524296e-09	-0.896650431397681	0.03	0.052	9.92189380122031e-05
KANSL2	4.07688821677404e-09	0.496434121200331	0.171	0.131	0.000100063144392502
PAPSS1	4.10364282785551e-09	1.19803112402874	0.062	0.039	0.000100719809566886
HERC1	4.10455598227718e-09	0.502190002710729	0.306	0.26	0.000100742222029011
PKP2	4.10531234672328e-09	3.24458471767762	0.008	0.002	0.000100760786237976
GLMN	4.11002906147167e-09	-0.319588986536665	0.075	0.106	0.000100876553284761
GRAMD1A	4.11386015768098e-09	-0.434016534744669	0.132	0.167	0.000100970583710122
ULK1	4.14243159118228e-09	0.737812375908147	0.073	0.048	0.000101671840973978
PDS5A	4.14941318420261e-09	0.499194075126818	0.256	0.212	0.000101843197193069
UBD	4.1549796150555e-09	7.10744783900033	0.004	0	0.000101979819671922
GPC6	4.1549796150555e-09	7.47928566856655	0.004	0	0.000101979819671922
TOX3	4.1549796150555e-09	7.44945728895547	0.004	0	0.000101979819671922
SPDEF	4.1549796150555e-09	7.74123283329329	0.004	0	0.000101979819671922
CMBL	4.3070939752827e-09	2.42792993306398	0.014	0.004	0.000105713314529339
ACTA2	4.31571155279154e-09	1.05233501257202	0.055	0.034	0.000105924824351716
OMA1	4.34236800700374e-09	-0.512050421682642	0.072	0.101	0.0001065790803639
ZSCAN26	4.35957288414147e-09	-1.1063605223629	0.019	0.038	0.000107001356868368
LIPH	4.37475343835188e-09	3.77981726542614	0.006	0.001	0.000107373948390909
HKR1	4.52768275389724e-09	-1.06490680508304	0.025	0.046	0.000111127445511654
FAM107B	4.54908994267846e-09	0.477255528854911	0.513	0.502	0.0001116528635531
PTPRM	4.61230237462699e-09	-0.999146329436276	0.01	0.025	0.000113204349482845
H2AFJ	4.61316946964713e-09	-0.39581939517334	0.159	0.196	0.000113225631463019
AC026401.3	4.72155010550543e-09	1.05788941161811	0.036	0.019	0.000115885725789525
HADH	4.73679503483261e-09	0.845669605975482	0.063	0.04	0.000116259897334932
SNTA1	4.78819528925637e-09	-0.917888381587423	0.02	0.038	0.000117521465179508
DEPP1	4.81992654567021e-09	4.04876147729416	0.005	0	0.00011830027713693
AP000941.1	4.86785477695348e-09	3.27287529507771	0.005	0	0.000119476627645546
CDC25C	4.8886201829774e-09	2.03219611585191	0.011	0.003	0.000119986293770997
RMND5B	5.0106638024697e-09	-0.789006145574422	0.025	0.046	0.000122981732367816
AC079305.1	5.01676233483234e-09	-1.40385709656743	0.015	0.032	0.000123131414746125
AC100778.3	5.0560444139605e-09	-2.4163419878168	0.002	0.012	0.000124095554096247
ZNF544	5.08570430821193e-09	-0.623451547163371	0.045	0.07	0.000124823526540754
IP6K2	5.11367653573865e-09	0.519210005336252	0.154	0.117	0.000125510076893169
CCDC17	5.16028904642136e-09	2.63634469915292	0.009	0.002	0.000126654134355366
IQCG	5.25179337888753e-09	-0.503072942548895	0.058	0.086	0.000128900016691415
PTPRK	5.26919554050885e-09	1.06451029890487	0.021	0.009	0.000129327135346249
ISG20L2	5.3089600721059e-09	0.327884545141044	0.289	0.239	0.000130303116009767
AC092910.3	5.32494910059201e-09	-1.11402678697467	0.019	0.038	0.00013069555072493
AC092718.1	5.32711538689423e-09	-2.42750808079798	0.003	0.013	0.000130748720055932
RTN3	5.38994131017521e-09	0.581332674582468	0.158	0.121	0.00013229071951694
FBXL19-AS1	5.43642526472498e-09	-1.19462568819914	0.017	0.034	0.00013343162169741
RBM12	5.46362797744496e-09	0.489165853488868	0.228	0.183	0.000134099285078409
SURF4	5.47892086827964e-09	0.665095236445384	0.283	0.246	0.000134474633791055
SMC2	5.48258400810786e-09	0.769028685486271	0.105	0.076	0.000134564541894999
SUMO3	5.51385269291178e-09	0.610062877868399	0.185	0.146	0.000135332000494827
NAPEPLD	5.56663573346342e-09	-0.799133499488763	0.027	0.049	0.000136627507442126
RB1-DT	5.57279475053708e-09	-1.82737788947443	0.005	0.017	0.000136778674357182
TRGV5	5.71999424271622e-09	-1.80270810839022	0.005	0.017	0.000140391538693227
CDCA4	5.7857078626714e-09	0.780431200210323	0.043	0.024	0.000142004413781407
DRAIC	5.89411230013691e-09	-1.05446391083116	0.016	0.034	0.00014466509229456
AC026979.2	5.89443560746014e-09	0.435217634094932	0.231	0.188	0.000144673027549502
ENDOV	5.93000185710893e-09	-0.713535978327992	0.04	0.064	0.000145545965580881
CHMP5	5.93259239432599e-09	0.564229502113294	0.241	0.199	0.000145609547726337
PARP16	5.96650002422331e-09	-0.842796454075026	0.044	0.068	0.000146441776594537
KHDRBS1	5.96787965755347e-09	0.457824879631983	0.398	0.356	0.000146475638314992
MSANTD4	5.97276929424668e-09	-0.488057696173275	0.044	0.069	0.000146595649557991
CLEC2B	5.99323696894854e-09	0.725952571179402	0.413	0.401	0.000147098008165873
STAU1	6.09196176088864e-09	0.612722387031497	0.237	0.196	0.000149521109459251
AC068831.1	6.16920467288846e-09	1.89156434379471	0.014	0.005	0.000151416959491374
LINS1	6.20028989243139e-09	-0.346752452010547	0.121	0.157	0.000152179915119836
UBE2D1	6.33961301920493e-09	0.601482978123791	0.097	0.067	0.000155599461943366
MEPCE	6.35008512281857e-09	-0.258302285667192	0.175	0.213	0.000155856489254459
NPM3	6.39501980620578e-09	0.996352124839848	0.035	0.019	0.000156959366123515
LINC00667	6.40440324732812e-09	-0.5430154997382	0.061	0.089	0.000157189673302421
KLRC4	6.45661427557619e-09	-0.283868301336594	0.044	0.071	0.000158471140779742
CDKL1	6.46849209687964e-09	-1.15714652487236	0.011	0.026	0.000158762670025814
PLEKHN1	6.4708818121826e-09	1.87992325495592	0.022	0.009	0.00015882132319821
SPIDR	6.53353647971971e-09	-0.274616986696253	0.052	0.079	0.00016035911935824
LIMA1	6.53614605995875e-09	0.723663521208172	0.166	0.131	0.000160423168895628
AC022021.1	6.6440203211156e-09	-1.63393057528801	0.009	0.024	0.000163070834761461
AL355304.1	6.68304686270848e-09	0.814368775909112	0.024	0.011	0.000164028702198317
AL135905.1	6.71131842510569e-09	-1.97224826206062	0.007	0.02	0.000164722599425794
PRR7-AS1	6.74203406254565e-09	-1.5416098502026	0.01	0.025	0.000165476484031121
PNP	6.88836425697286e-09	-0.356732154617168	0.188	0.226	0.000169068012323142
AC012615.2	6.89378646968936e-09	1.08396568997946	0.032	0.016	0.000169201095112056
CEP170	6.9390945698403e-09	0.463608788510691	0.098	0.068	0.00017031313712216
ITGA3	6.95245668968159e-09	1.32366379882173	0.029	0.015	0.000170641096991545
MIR194-2HG	7.24892592802712e-09	1.90412778930905	0.014	0.005	0.000177917637977498
LHFPL6	7.28139040372256e-09	2.64434024772424	0.007	0.001	0.000178714446068966
CNPY3	7.30678311400427e-09	-0.309094863634624	0.122	0.157	0.000179337684750121
ZNF260	7.34435568953755e-09	-0.764309160444864	0.031	0.053	0.00018025986604401
ID1	7.37071067648133e-09	-0.729527660125082	0.102	0.134	0.000180906722843558
ANO10	7.37667849507906e-09	-0.979844130106827	0.012	0.028	0.00018105319698322
TMEM107	7.38654423149611e-09	-0.610555553835752	0.086	0.116	0.00018129534161784
CDC42BPG	7.39961847461714e-09	0.826512088103201	0.021	0.009	0.000181616235841003
LAMC1	7.40443988909519e-09	5.00991918643011	0.005	0	0.000181734572637952
SDC2	7.42227457879094e-09	5.05440099480299	0.005	0	0.000182172307261845
PPP1R12A	7.45013971875131e-09	0.379302210128548	0.473	0.441	0.000182856229257032
IFT43	7.46678670207125e-09	-0.887968100562229	0.034	0.057	0.000183264812815637
CA6	7.47003821980008e-09	3.98460106728676	0.005	0	0.000183344618066773
CCDC3	7.47981282421689e-09	-2.44951294797444	0.002	0.012	0.000183584525957579
LAMTOR3	7.8011778013479e-09	0.490320183807721	0.148	0.111	0.000191472107956283
KIAA0825	7.81849240405736e-09	-0.833345122890413	0.013	0.029	0.000191897077565184
NRG2	7.81945928260217e-09	-1.84403203548685	0.007	0.019	0.000191920808632188
USP45	7.83849088745676e-09	-1.01462928108248	0.025	0.045	0.000192387920341739
TCTA	8.14809596897735e-09	-0.333591612998785	0.061	0.09	0.00019998686746258
DSE	8.38792465990201e-09	-0.496408666494339	0.066	0.095	0.000205873222852635
CORO7	8.39926253578807e-09	-0.286252996442445	0.131	0.166	0.000206151499678382
L3MBTL4	8.41189300430852e-09	-1.83505686523774	0.004	0.016	0.000206461501897748
DBP	8.63081776573972e-09	-0.819101314079935	0.049	0.074	0.000211834791242316
SSFA2	8.7022246274946e-09	0.79578477172468	0.078	0.053	0.000213587401257227
ACTR10	8.71159407594588e-09	-0.449567274091741	0.096	0.128	0.000213817365000016
TRDV1	8.71769059157948e-09	-0.977050616369723	0.012	0.028	0.000213966997879727
NFATC1	8.85363366308136e-09	0.504390429614513	0.103	0.073	0.000217303584626669
KPNA1	8.8656940967621e-09	0.525003429227696	0.143	0.107	0.000217599595910929
TAPBPL	8.88997175708973e-09	-0.391707081943555	0.051	0.078	0.00021819546680601
DCP1B	8.90065972435506e-09	-0.78352183017323	0.024	0.044	0.000218457792274571
ZNF16	8.93731199336992e-09	-1.24403455762096	0.01	0.024	0.000219357385565271
FAM200A	9.06198510866914e-09	-1.12650880627498	0.024	0.043	0.000222417362507175
PER3	9.16852606332761e-09	-1.0732930276524	0.025	0.045	0.000225032303698313
TNFSF9	9.1992653236302e-09	-0.37290563104615	0.083	0.114	0.00022578676810318
FANCD2	9.20115967267444e-09	0.422750433605741	0.052	0.031	0.000225833263006121
TACC1	9.28591538354554e-09	0.539170190486645	0.311	0.273	0.000227913507173742
MTF2	9.33686919880193e-09	0.506788060942995	0.236	0.192	0.000229164117615395
SPEF2	9.40760216152431e-09	-0.793894378140357	0.03	0.051	0.000230900187452453
RINL	9.41607285663507e-09	-0.534938494794606	0.086	0.117	0.000231108092193251
WDR45	9.6026541679051e-09	-0.579605633294255	0.062	0.089	0.000235687543897063
AL021068.1	9.62239918001167e-09	-2.52321657805784	0.002	0.012	0.000236172165474206
PARPBP	9.729927617992e-09	0.849538575476277	0.025	0.012	0.000238811343455996
AC096734.2	9.7447921880109e-09	-1.96077075781883	0.004	0.015	0.00023917617946254
SPSB2	9.82484439404081e-09	-0.748733660213116	0.058	0.084	0.000241140980807338
TLCD2	9.95191043985917e-09	-1.16648473559291	0.012	0.027	0.000244259689835903
AP002387.2	9.98109301459769e-09	-0.351300128637253	0.063	0.091	0.000244975946950286
PIP5K1A	1.00004609931251e-08	0.672048076642058	0.105	0.075	0.000245451314615262
HIPK2	1.00568574985741e-08	0.496265435380628	0.159	0.122	0.000246835510445003
MAGOHB	1.00572204173708e-08	-0.586182192883351	0.092	0.122	0.00024684441792395
GSPT2	1.00818886215157e-08	-0.646265672424261	0.018	0.036	0.000247449874326481
AL353759.1	1.01866419950432e-08	-1.21810980268933	0.021	0.04	0.000250020941126341
BRCA1	1.01999392200304e-08	0.64999669892733	0.045	0.026	0.000250347308216427
MUC5AC	1.02465659203684e-08	5.57101204180505	0.004	0	0.000251491713949522
SET	1.02576655884057e-08	0.26072041009314	0.666	0.674	0.000251764144201829
AC083843.2	1.02618859095758e-08	-2.59830312918118	0.002	0.012	0.000251867727764628
MYCBP	1.02973369112877e-08	1.00547345475221	0.057	0.036	0.000252737837150645
ZBTB43	1.03702443606416e-08	0.734629132127109	0.132	0.101	0.000254527277587586
HBS1L	1.05621076654217e-08	0.488228960704755	0.185	0.145	0.00025923637054011
ZCCHC18	1.07231682766656e-08	-1.61251976113657	0.004	0.015	0.00026318944218248
MIAT	1.07872886213285e-08	0.763137168284805	0.24	0.211	0.000264763211921887
BAZ2A	1.08643232473997e-08	0.571133853235255	0.24	0.198	0.000266653949784179
MACO1	1.09132672132078e-08	0.373876708786629	0.138	0.102	0.000267855230480971
LINC01588	1.09511199590542e-08	-0.52699569067034	0.07	0.099	0.000268784288275026
SERINC3	1.09599855177881e-08	0.533447082867522	0.28	0.237	0.000269001884548591
MRPS10	1.09632786010942e-08	-0.417135534016282	0.098	0.13	0.000269082709985255
MAP2K1	1.10022032202817e-08	0.639484632396964	0.157	0.121	0.000270038075838595
PAWR	1.13240518688697e-08	1.44325139837371	0.026	0.013	0.000277937529069538
HELQ	1.13272161437014e-08	-0.738321161222067	0.081	0.109	0.000278015193031006
TET2	1.13991288598312e-08	0.720536169137378	0.145	0.113	0.000279780218735697
TCIM	1.15017279822774e-08	4.79176841328097	0.005	0.001	0.000282298411597016
CD44	1.16507514947307e-08	0.295525880969307	0.666	0.665	0.000285956044686671
AK3	1.16520051719494e-08	0.682026532734754	0.131	0.098	0.000285986814940325
ZNF169	1.17990450077476e-08	-1.52211257613472	0.011	0.026	0.000289595760670157
APOD	1.18278887347427e-08	7.67398162346467	0.004	0	0.000290303701105525
ADAMTS2	1.18278887347427e-08	7.37441112745643	0.004	0	0.000290303701105525
TNFRSF21	1.18278887347427e-08	6.56370500090635	0.004	0	0.000290303701105525
EGFR	1.18278887347427e-08	7.66321216589624	0.004	0	0.000290303701105525
FPR3	1.18278887347427e-08	7.81567290921127	0.004	0	0.000290303701105525
MMP3	1.18278887347427e-08	6.9628284998075	0.004	0	0.000290303701105525
CEP83-DT	1.19259962648663e-08	-2.25052477519867	0.002	0.012	0.000292711652324878
TAB3	1.19572069316568e-08	0.841828658137719	0.08	0.055	0.000293477686930584
C1R	1.20128474482492e-08	2.33879070545978	0.012	0.004	0.000294843327769829
H1F0	1.20905550778003e-08	2.87795901147256	0.009	0.002	0.00029675058382953
ABCG1	1.21871794672261e-08	0.904451380675849	0.106	0.078	0.000299122132843597
TNFSF13B	1.22593811842455e-08	-0.385369572564089	0.051	0.078	0.00030089425178612
TBL1X	1.23094582569437e-08	0.570512108094967	0.1	0.071	0.000302123343458426
MTG1	1.23159831258942e-08	-0.647543922849205	0.025	0.045	0.000302283489841948
COMMD10	1.23899101191049e-08	-0.57692596940056	0.064	0.092	0.000304097953963311
SLC16A1-AS1	1.23912919486662e-08	-0.621673550436712	0.062	0.09	0.000304131869588063
AC100812.1	1.27009509638949e-08	-3.6099187589483	0.001	0.01	0.000311732140457837
NCR3LG1	1.27865858078956e-08	1.00884974099259	0.025	0.012	0.000313833962068991
MED13L	1.28097655493493e-08	0.457585052598122	0.202	0.16	0.00031440288564323
ARL16	1.28301680550431e-08	-0.543933850349603	0.077	0.106	0.000314903644742977
NDUFAF2	1.28314045063158e-08	0.63404843818004	0.12	0.089	0.000314933992203015
UST	1.28596737873323e-08	-1.8455103932302	0.006	0.018	0.000315627833436285
IGHM	1.28682997375552e-08	2.22709096830521	0.028	0.014	0.000315839548758555
FLCN	1.31258260338725e-08	0.608942868986166	0.054	0.033	0.000322160274175366
GAS2L3	1.3233106576751e-08	5.03050253471263	0.005	0	0.000324793367819777
VAMP4	1.32369943635457e-08	-0.409317648274188	0.06	0.088	0.000324888789658866
GNAI2	1.34693567378147e-08	0.381465456695084	0.549	0.532	0.000330591891772924
TGFBR1	1.36586963679868e-08	-0.423707485907634	0.09	0.121	0.000335239043655867
ASTE1	1.37356851754105e-08	-0.428951082011456	0.054	0.08	0.000337128656945275
PPP4C	1.38809277564671e-08	0.568422305403348	0.204	0.164	0.000340693490854729
KIAA0355	1.38819609332229e-08	0.511013252573875	0.178	0.139	0.000340718849145022
RBM14	1.39323872021989e-08	-0.425816250858897	0.108	0.14	0.00034195651149077
REM2	1.39474753031792e-08	1.32872066898812	0.015	0.005	0.00034232683384123
DRG2	1.40134942161891e-08	-0.511466266190841	0.047	0.072	0.000343947202042146
AC145124.1	1.42304937276444e-08	-1.17051393321969	0.014	0.031	0.000349273238051305
AL078459.1	1.44845248176418e-08	-3.16082479096522	0.001	0.009	0.0003555081771242
ALDOA	1.48037033176038e-08	-0.692820702130302	0.053	0.078	0.000363342094227268
TBRG4	1.48753993631078e-08	0.493708180425221	0.081	0.054	0.000365101801968118
C2orf69	1.49387788366719e-08	0.64790273989352	0.086	0.059	0.000366657387767275
PSMD11	1.50862491705245e-08	0.560389429135702	0.211	0.17	0.000370276899641353
ADIPOR2	1.509930085989e-08	0.667284193388374	0.103	0.074	0.000370597240305141
GIGYF1	1.51784681704956e-08	-0.442874476684207	0.107	0.138	0.000372540322776643
AL035563.1	1.52897589467616e-08	-1.84097324350349	0.004	0.015	0.000375271843589316
AC025263.1	1.54301716250668e-08	-2.84055208539974	0.003	0.013	0.00037871813236564
ATP6V1E2	1.54549644128793e-08	-0.742793687616356	0.031	0.052	0.00037932664654971
OSBPL11	1.55586812364962e-08	-0.428644764524726	0.073	0.102	0.000381872272268562
TMEM177	1.57151486846331e-08	-1.1467564050889	0.008	0.021	0.000385712609315634
AL031963.3	1.58338634128356e-08	-1.39796492725961	0.009	0.023	0.000388626343604638
ARID1A	1.58392921220432e-08	0.387992031087338	0.321	0.273	0.000388759585843428
CCR2	1.59011317398219e-08	-0.777412402289997	0.009	0.023	0.000390277377422189
ZNF512	1.6143435641944e-08	-0.879937060575383	0.027	0.047	0.000396224484395873
STK3	1.61563271438484e-08	1.41023746436423	0.026	0.013	0.000396540893418615
VIL1	1.6812642936012e-08	1.08176674065331	0.02	0.008	0.000412649508221478
USP25	1.68601845489301e-08	-0.336181382905235	0.128	0.163	0.000413816369568941
INO80E	1.68914212441954e-08	-0.495057023174998	0.091	0.121	0.000414583043017531
CP	1.69040036397104e-08	-1.77987399211322	0.004	0.015	0.000414891865333052
ALG10B	1.72079123026043e-08	-0.9741054497936	0.017	0.034	0.000422350999555119
AFAP1	1.73059882810864e-08	1.36394871612919	0.034	0.019	0.000424758176370985
CFAP20	1.7422810436485e-08	0.526188152469375	0.1	0.071	0.000427625459353087
SCART1	1.75181701983739e-08	-1.65448759292958	0.006	0.019	0.00042996596934889
RAN	1.76236026780852e-08	0.456879186463102	0.463	0.441	0.000432553704130923
PMS2	1.77802108122199e-08	-0.868963306321168	0.048	0.072	0.000436397494175126
WRAP53	1.78154546540066e-08	-0.759600890023899	0.026	0.045	0.000437262519027939
PAF1	1.7869218030162e-08	0.524461711563619	0.197	0.158	0.000438582087332297
METAP1	1.7879620163876e-08	0.695712987625072	0.129	0.097	0.000438837397302172
TMEM123	1.78851719077923e-08	0.357026003929671	0.377	0.331	0.000438973659304853
MYH7B	1.8000067045932e-08	0.88426692387471	0.017	0.006	0.000441793645575354
MSL1	1.8201693754694e-08	0.465744132260553	0.238	0.195	0.00044674237151521
COQ10B	1.83156272830135e-08	0.428862592108705	0.281	0.233	0.000449538756034285
RBM34	1.86121700940437e-08	-0.856864289676058	0.04	0.063	0.000456817102788209
EAF1-AS1	1.86865936214838e-08	-1.29953690423058	0.009	0.022	0.000458643753845699
AL138689.2	1.8789630093599e-08	1.77866117426428	0.011	0.003	0.000461172681017294
MAD1L1	1.887511404137e-08	-0.564312529449289	0.064	0.091	0.000463270799031386
MACC1	1.89186941887597e-08	1.69341699041285	0.016	0.006	0.000464340430168919
GPALPP1	1.90816919245226e-08	-0.558760327980793	0.065	0.092	0.000468341046595482
TCTN3	1.94692933528611e-08	-0.488391909471778	0.077	0.106	0.000477854336052623
CANT1	1.97965792047889e-08	0.967145992253679	0.061	0.04	0.00048588724000234
CTDP1	1.99462228844466e-08	0.768035003659281	0.08	0.055	0.000489560094475856
AC087482.1	2.00045838919543e-08	-3.69791595607884	0.001	0.009	0.000490992507044125
BISPR	2.00238930634634e-08	-0.453254838714093	0.04	0.064	0.000491466431349645
BCCIP	2.01116333722952e-08	0.546442287687603	0.14	0.106	0.000493619929489614
SRBD1	2.0466858925871e-08	-0.624287102852389	0.053	0.079	0.000502338585476577
ZCWPW1	2.05437979478611e-08	-0.806641258948634	0.036	0.057	0.000504226976832303
EEF2K	2.05599635485066e-08	0.675254033711157	0.051	0.031	0.000504623745334546
AL024507.2	2.06207758215239e-08	-1.63517316762278	0.008	0.021	0.000506116321763481
FHOD1	2.06768946979733e-08	0.918076723593919	0.067	0.044	0.000507493703467056
SMTN	2.07330676162987e-08	1.05313008655296	0.022	0.01	0.000508872411574436
GCNT2	2.07375711929366e-08	-1.27634027000756	0.009	0.023	0.000508982947359437
CD163	2.08000727335228e-08	4.33879744977541	0.004	0	0.000510516985171583
PTDSS1	2.10302475979241e-08	0.638906999927129	0.118	0.087	0.00051616639704345
GALE	2.10443728881327e-08	-0.620099371224077	0.028	0.049	0.000516513088166329
AL138720.1	2.11082428511227e-08	3.90285832789124	0.005	0	0.000518080712537956
ARMCX1	2.13744125888487e-08	2.68521901636535	0.005	0	0.000524613582580703
ADD2	2.13820651142292e-08	3.16768991422668	0.005	0	0.000524801406163642
AC004812.2	2.1448875925004e-08	-1.61960058075121	0.008	0.021	0.000526441210703299
HMCES	2.1557636657799e-08	0.431490747458335	0.133	0.099	0.000529110634129018
RMI2	2.1946935228772e-08	2.14170225172331	0.011	0.003	0.000538665578254979
RAB32	2.20212561401943e-08	1.96805306041347	0.007	0.001	0.000540489710704929
RECQL4	2.20263186409e-08	1.82924378452311	0.011	0.003	0.000540613964722249
ZNF445	2.22912039569976e-08	-0.645673538911689	0.047	0.071	0.000547115309920549
ICOSLG	2.27812946373149e-08	1.52030870416825	0.013	0.004	0.000559144095578258
TIMD4	2.29868602720952e-08	2.00853774022523	0.01	0.003	0.000564189498518303
ZNF576	2.34573285631872e-08	-0.677564745166966	0.029	0.05	0.000575736672254866
DYRK1B	2.38806088570621e-08	-0.617900365694955	0.026	0.046	0.000586125663787733
ETFRF1	2.41738188299831e-08	-0.580876821606189	0.075	0.102	0.000593322209363105
B4GALT2	2.42100085484281e-08	1.88802711014312	0.01	0.003	0.00059421044981262
CKAP5	2.43833892054278e-08	0.631271884352332	0.099	0.071	0.00059846590465802
NPC2	2.43887059021279e-08	-0.25675526705297	0.108	0.14	0.000598596397661826
GDF15	2.46022726129993e-08	2.79078975287291	0.008	0.002	0.000603838179013454
AC099811.4	2.46079028181581e-08	1.08404993174093	0.039	0.022	0.000603976366768873
FNDC7	2.50349541017857e-08	1.22592877801716	0.014	0.005	0.000614457913474228
ZFAND2A	2.52298977647478e-08	-0.472182867677127	0.179	0.21	0.000619242610737971
ACBD6	2.55687182782029e-08	-0.474077774713604	0.081	0.11	0.000627558621420211
CLDN12	2.56384000777243e-08	2.2651305409014	0.014	0.005	0.000629268891507664
C3	2.59458756963463e-08	3.04825599416863	0.009	0.002	0.000636815573091123
BAIAP2L1	2.62754634972717e-08	2.58496276348619	0.009	0.002	0.000644904976077038
EREG	2.63774639180262e-08	2.35519343463178	0.009	0.002	0.000647408474404034
GCNT3	2.65013573373301e-08	3.82748430366307	0.006	0.001	0.00065044931448743
CTDSPL	2.70691899096352e-08	2.07893781843316	0.008	0.002	0.000664386197142086
POC1A	2.71696295612398e-08	2.16006975274461	0.008	0.002	0.000666851387951069
FAM193A	2.74103778010356e-08	0.589794388533257	0.118	0.088	0.000672760312748617
SPRED2	2.7418691844961e-08	1.33747776387073	0.02	0.008	0.000672964372642722
MTREX	2.75337598597131e-08	0.57713048901803	0.21	0.172	0.000675788601996798
TMEM246	2.77563733666165e-08	-2.6315377375876	0.001	0.009	0.000681252427910236
ANGEL2	2.77878637632459e-08	-0.480352228336556	0.095	0.125	0.000682025328205106
CNTLN	2.78026879854252e-08	1.94871940731481	0.009	0.002	0.000682389173914277
MAPK11	2.80032780522198e-08	1.62880741595924	0.019	0.008	0.000687312456513684
ARFGAP2	2.80533791706031e-08	-0.343980236968296	0.104	0.135	0.000688542138363282
CA5B	2.80548703283077e-08	-0.305552618635095	0.078	0.108	0.000688578737337983
PEPD	2.81108966793448e-08	-0.413488649908858	0.052	0.077	0.000689953848097838
WDR5B	2.86797421693279e-08	-1.26826071984207	0.015	0.031	0.000703915591803985
MST1R	2.9023029750166e-08	5.64230927673139	0.004	0	0.000712341242188074
CEACAM5	2.90230300329773e-08	6.13893261581719	0.004	0	0.000712341249129396
FAP	2.90477809238935e-08	5.06990124405183	0.004	0	0.000712948734996043
UBE2B	2.90743585555373e-08	0.42532394408126	0.42	0.386	0.000713601056387108
SFRP5	2.91594135980843e-08	3.89926602640688	0.004	0	0.00071568864735138
TSC22D1	2.91728511102179e-08	-0.364548063111029	0.076	0.106	0.000716018457649188
RRP8	2.9468152207616e-08	-0.569567886709115	0.065	0.091	0.000723266327783728
AC234772.3	2.97695949860269e-08	-1.71585078573461	0.004	0.015	0.000730664939337044
