"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","GO:0042254","ribosome biogenesis","28/931","202/17913",2.07549473414765e-06,8.66346093612132e-05,6.82728530969622e-05,"AATF/CEBPZ/CUL4A/DDX17/DDX27/DDX3X/EIF2A/EXOSC6/EXOSC9/GNL2/IMP3/ISG20L2/NAF1/RBFA/RPF2/RPL11/RPL14/RPL26/RPL27/RPL38/RPL7/RPS14/RPS16/RPS19/RPS27/RPS9/SBDS/SIRT1",28
"GO:0048025","GO:0048025","negative regulation of mRNA splicing, via spliceosome","8/931","19/17913",2.3378795154998e-06,9.59872007634304e-05,7.56432112435225e-05,"HNRNPA2B1/HNRNPK/PTBP1/RBM42/SAP18/SFSWAP/SRSF6/SRSF7",8
"GO:0071243","GO:0071243","cellular response to arsenic-containing substance","8/931","19/17913",2.3378795154998e-06,9.59872007634304e-05,7.56432112435225e-05,"ATF3/ATF4/DDX3X/DHX36/HNRNPA1/MKNK2/ZC3H12A/ZFAND2A",8
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","26/931","182/17913",2.70208415796177e-06,0.000110038532904313,8.67164363915843e-05,"BCL6/CD83/CYLD/DHX36/EGR3/FLT3LG/FOS/GATA3/GNAS/HAX1/HSPA1A/IFNG/JUN/KLF10/LEF1/NFKBID/NFKBIZ/PNP/RARA/RUNX1/SMAP1/STAT3/TNF/TRAF6/XBP1/ZFP36L1",26
"GO:0071824","GO:0071824","protein-DNA complex subunit organization","31/931","240/17913",2.7596602540598e-06,0.000111476921069238,8.78499656428206e-05,"ANP32E/BRD2/CCNH/CENPK/CENPL/CENPT/CUL4A/ERCC5/GRWD1/GTF2B/MIS12/MYC/NAP1L1/NASP/PAF1/POLR1E/PTMA/RAD23B/RNF4/RPL23/RPS27A/SMARCA5/TAF1/THRA/TSPYL2/TSPYL4/UBA52/UBB/UBC/UBN1/UBTF",31
"GO:0000289","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","10/931","32/17913",3.10256320808142e-06,0.000123339199279999,9.71980954912724e-05,"CNOT3/CNOT4/CNOT6/CNOT7/MLH1/PABPC1/TNRC6B/TNRC6C/TOB1/ZFP36",10
"GO:1902235","GO:1902235","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","10/931","32/17913",3.10256320808142e-06,0.000123339199279999,9.71980954912724e-05,"CREB3/DDIT3/HERPUD1/HSPA1A/NCK2/PMAIP1/PTPN2/SERINC3/SIRT1/XBP1",10
"GO:0060213","GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening","6/931","10/17913",3.40173672716705e-06,0.000133119525518592,0.000104905532293392,"CNOT7/PABPC1/TNRC6B/TNRC6C/TOB1/ZFP36",6
"GO:1902237","GO:1902237","positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","6/931","10/17913",3.40173672716705e-06,0.000133119525518592,0.000104905532293392,"DDIT3/NCK2/PMAIP1/PTPN2/SERINC3/SIRT1",6
"GO:0051702","GO:0051702","interaction with symbiont","16/931","81/17913",3.46632111429944e-06,0.000134595367918806,0.000106068577548943,"CALM1/CALM2/CCNK/CHD1/GTF2B/HSPA8/HSPD1/JUN/LEF1/SMC3/SUGT1/TAF11/TARDBP/TBC1D20/YTHDC2/ZC3H12A",16
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","33/931","267/17913",3.53203401302457e-06,0.000136072398478689,0.000107232559139881,"BCL6/CD83/CEBPB/CUL4A/CYLD/EGR3/FLT3LG/FOS/FOXP1/GATA3/GNAS/HAX1/IFNG/IRF1/JUN/KLF10/LEF1/MYC/NFKBID/NFKBIZ/NRARP/PNP/PTPN2/RARA/RUNX1/SOD1/TNF/TOB2/TRAF6/XBP1/ZC3H12A/ZFP36L1/ZFP36L2",33
"GO:0007050","GO:0007050","cell cycle arrest","30/931","231/17913",3.55869119598886e-06,0.000136072398478689,0.000107232559139881,"CALR/CCNK/CDKN1A/CDKN1B/CDKN1C/CNOT3/CNOT4/CNOT6/CNOT7/CRLF3/DDIT3/DUSP1/EIF4G2/GADD45A/HSP90AB1/IFNG/IRF1/JMY/MLST8/MYC/PCNA/PLK2/PLK3/PPP1R15A/PRKAG2/RHEB/RPL23/RPL26/SKIL/TP53INP1",30
"GO:0032434","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","19/931","110/17913",3.59492090667026e-06,0.000136416354708419,0.000107503615630091,"AKT1/CSNK1D/DNAJB2/FHIT/GSK3A/HERPUD1/HSP90AB1/HSPA1A/PLK2/PLK3/RAD23A/RAD23B/RPL11/SDCBP/SUMO1/TAF1/UBQLN1/UBXN1/ZFAND2A",19
"GO:0031330","GO:0031330","negative regulation of cellular catabolic process","31/931","244/17913",3.90834645911134e-06,0.000147194792584126,0.000115997619482925,"AKT1/CIRBP/DDIT4/DERL2/DHX36/DHX9/EIF4G2/FHIT/GOLGA2/GSK3A/HNRNPA0/HNRNPC/HNRNPU/HSP90AB1/LRIG2/LRPPRC/MCL1/NAF1/PABPC1/RPL11/RPL23/SDCBP/SECISBP2/STAT3/SYNCRIP/TAF1/TARDBP/TOB1/UBXN1/USP19/ZFP36",31
"GO:0031060","GO:0031060","regulation of histone methylation","14/931","64/17913",3.99624090963674e-06,0.00014938187101769,0.000117721157982229,"GATA3/KDM3A/KDM4C/MECP2/MTF2/MTHFR/PAF1/RNF20/SIRT1/SMAD4/SUPT6H/WDR61/ZNF274/ZNF335",14
"GO:0017148","GO:0017148","negative regulation of translation","27/931","198/17913",4.30443078363734e-06,0.000159710324409181,0.000125860549229162,"ATF4/CALR/CAPRIN2/CELF1/CIRBP/DDX3X/DHX36/KHSRP/NCL/NOTCH4/PURA/RARA/RBM3/RBM4/RGS2/RNF139/RPS3/STAT3/SYNCRIP/TNRC6B/TNRC6C/TOB1/TPR/ZC3H12A/ZFP36/ZFP36L1/ZFP36L2",27
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","32/931","258/17913",4.58879400352671e-06,0.00016837648512078,0.000132689962110922,"AKT1/BCL6/CD274/CD55/CD83/CDKN1A/CYLD/EFNB2/EGR3/EXOSC6/FLT3LG/GATA3/GRB2/HLA-E/HSPD1/HSPH1/IFNG/IL6ST/IRS2/MLH1/NCK2/NFKBID/NFKBIZ/PELI1/PNP/RARA/RPS3/RUNX1/TFRC/TRAF6/XBP1/ZNF335",32
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation","22/931","143/17913",4.60525730611145e-06,0.00016837648512078,0.000132689962110922,"BCL6/CD83/CYLD/EGR3/FLT3LG/FOS/GATA3/GNAS/HAX1/IFNG/JUN/KLF10/LEF1/NFKBID/NFKBIZ/PNP/RARA/RUNX1/TNF/TRAF6/XBP1/ZFP36L1",22
"GO:0006457","GO:0006457","protein folding","25/931","176/17913",4.63884107539783e-06,0.00016837648512078,0.000132689962110922,"BAG3/CALR/CCT2/CCT3/CCT4/DNAJA1/DNAJA4/DNAJB1/DNAJB2/DNAJB6/ERP44/FKBP4/GAK/HSP90AA1/HSPA1A/HSPA2/HSPA5/HSPA8/HSPD1/HSPH1/PPIL2/PTGES3/RAD23B/TBCC/UBXN1",25
"GO:0016049","GO:0016049","cell growth","48/931","466/17913",4.92347863403329e-06,0.000177422334373185,0.000139818590515902,"AKT1/BCL6/BTG1/C9orf72/CAMK2D/CAPRIN2/CCDC85B/CDK11A/CDK11B/CDKN1A/CDKN1B/CDKN2AIP/CRKL/CRLF3/CXCR4/DDX3X/DERL2/DNAJB2/EIF4G2/EXOSC9/GSK3A/HBEGF/HSP90AA1/HSP90AB1/HSPA1A/IFRD1/IGFBP3/ING1/LEF1/PPP2CA/RAB21/RASGRP2/RGS2/RNF157/RPS6KA3/RTN4/SDCBP/SEMA4D/SERTAD2/SERTAD3/SGK1/SIPA1/SIRT1/SLC9A1/SMAD4/TSPYL2/USP47/YY1",48
"GO:0046631","GO:0046631","alpha-beta T cell activation","21/931","133/17913",4.9614235247543e-06,0.000177512645967816,0.000139889761036306,"BCL6/CD274/CD55/CD83/FOXP1/GATA3/HLA-E/HSPH1/IFNG/IRF1/LEF1/NFKBID/NFKBIZ/PNP/PTGER4/RARA/RUNX1/SATB1/STAT3/TCF7/ZC3H12A",21
"GO:0034504","GO:0034504","protein localization to nucleus","29/931","223/17913",5.01376753671611e-06,0.000178113202775965,0.00014036303294278,"AKT1/BAG3/CALR/CCT2/CCT3/CCT4/CDKN1A/DNAJB6/HNRNPU/IFNG/KPNA2/NUP62/PAF1/PPP1R10/RBM22/RPF2/RPL11/RPL23/SIN3A/SKP1/STAT3/SUMO1/TARDBP/TOPORS/TPR/TRIM28/TRIM8/ZBTB7A/ZC3H12A",29
"GO:0034620","GO:0034620","cellular response to unfolded protein","20/931","123/17913",5.24554856722916e-06,0.000185034878684865,0.000145817695530833,"ATF3/ATF4/BAG3/CALR/CREB3/CTDSP2/DDIT3/DERL2/DNAJB9/GSK3A/HERPUD1/HSPA1A/HSPA5/NCK2/PPP1R15A/PPP1R15B/PTPN2/SERP1/TSPYL2/XBP1",20
"GO:0043489","GO:0043489","RNA stabilization","11/931","41/17913",5.28512609161914e-06,0.00018512724890154,0.000145890488359012,"CIRBP/DHX36/DHX9/HNRNPA0/HNRNPC/HNRNPU/NAF1/PABPC1/SYNCRIP/TARDBP/ZFP36",11
"GO:0050686","GO:0050686","negative regulation of mRNA processing","9/931","27/17913",5.33889466336662e-06,0.000185711967838912,0.000146351279149304,"HNRNPA2B1/HNRNPK/PTBP1/RBM42/RNF20/SAP18/SFSWAP/SRSF6/SRSF7",9
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","36/931","310/17913",5.49298019851038e-06,0.00018845436859136,0.000148512442281283,"AKT1/ATF4/ATP1A1/BAG3/CALM1/CDKN1A/CNN2/DDX3X/DHX36/EEF1D/EGR1/ERRFI1/GADD45A/GATA3/GRB2/HSPA5/IRF1/MYC/OXSR1/PCNA/PTGER4/RAD9A/RHOB/RPL26/SIPA1/SIRT1/SLC12A6/SLC2A1/SLC38A2/SLC9A1/TAF1/TP53INP1/USP47/XRCC6/YY1/ZFP36L1",36
"GO:0104004","GO:0104004","cellular response to environmental stimulus","36/931","310/17913",5.49298019851038e-06,0.00018845436859136,0.000148512442281283,"AKT1/ATF4/ATP1A1/BAG3/CALM1/CDKN1A/CNN2/DDX3X/DHX36/EEF1D/EGR1/ERRFI1/GADD45A/GATA3/GRB2/HSPA5/IRF1/MYC/OXSR1/PCNA/PTGER4/RAD9A/RHOB/RPL26/SIPA1/SIRT1/SLC12A6/SLC2A1/SLC38A2/SLC9A1/TAF1/TP53INP1/USP47/XRCC6/YY1/ZFP36L1",36
"GO:2001235","GO:2001235","positive regulation of apoptotic signaling pathway","25/931","178/17913",5.69170619231764e-06,0.00019394392052598,0.000152838512146016,"ATF3/BCLAF1/CYLD/DDIT3/DEDD2/FAM162A/GSK3A/HIP1R/MCL1/MOAP1/NCK2/PMAIP1/PRR7/PTPN2/RAD9A/RPL11/RPL26/RPS3/SERINC3/SFPQ/SIRT1/SKIL/SOD1/UBB/YWHAQ",25
"GO:2001020","GO:2001020","regulation of response to DNA damage stimulus","27/931","201/17913",5.73076692595463e-06,0.000193955483325046,0.000152847624269771,"BCLAF1/CUL4A/DDX5/DHX9/EYA3/FUS/HELB/HNRNPK/IER3/KLHL15/MCL1/MYC/PCNA/PMAIP1/PPP1R10/RAD9A/RPL26/RPS3/SIRT1/SKIL/SMCHD1/SNAI1/TPT1/TRIM28/UBE2N/USP47/USP51",27
"GO:0030308","GO:0030308","negative regulation of cell growth","24/931","167/17913",5.83073748330486e-06,0.00019470776035916,0.00015344046008697,"BCL6/BTG1/CAPRIN2/CCDC85B/CDKN1A/CDKN1B/CDKN2AIP/CRLF3/DDX3X/DNAJB2/GSK3A/HSPA1A/IFRD1/ING1/PPP2CA/RGS2/RTN4/SERTAD2/SERTAD3/SIPA1/SIRT1/SMAD4/TSPYL2/YY1",24
"GO:0061136","GO:0061136","regulation of proteasomal protein catabolic process","24/931","167/17913",5.83073748330486e-06,0.00019470776035916,0.00015344046008697,"AKT1/ATXN3/CSNK1D/DERL2/DNAJB2/FHIT/GSK3A/HERPUD1/HSP90AB1/HSPA1A/PLK2/PLK3/PSMC6/RAD23A/RAD23B/RPL11/SDCBP/SUMO1/TAF1/UBB/UBQLN1/UBXN1/USP19/ZFAND2A",24
"GO:0018205","GO:0018205","peptidyl-lysine modification","41/931","376/17913",6.10172290291993e-06,0.000202407483580966,0.000159508266894038,"ARID4A/BAZ1A/CBX4/CRTC2/DHPS/EGR1/EGR2/GATA3/GTF2B/KDM3A/KDM4C/LDB1/LEF1/MECP2/MORF4L1/MTF2/NUP50/NUP62/PER1/PHF10/PHF20/POM121/POM121C/RLF/SIN3A/SIRT1/SMAD4/SUMO1/SUPT6H/TAF1/TAF7/TOLLIP/TOPORS/TPR/TRIM28/USP22/WDR61/WDR82/ZNF274/ZNF335/ZNF451",41
"GO:0001933","GO:0001933","negative regulation of protein phosphorylation","44/931","416/17913",6.20732207909377e-06,0.000204555765093294,0.000161201231278405,"AKT1/ATF3/C9orf72/CALM1/CALM2/CDKN1A/CDKN1B/CDKN1C/CHMP6/CRKL/CTDSP2/CYLD/DDIT4/DNAJA1/DUSP1/ERRFI1/GADD45A/GADD45B/GGNBP2/GPS2/HEXIM1/IGBP1/IGFBP3/JUN/MLLT1/MYADM/MYC/NCK2/NUP62/PER1/PPP1R15B/PPP2CA/PRKAG2/PRKAR2A/PTPN2/RGS2/SEMA4D/SIRT1/SMAD4/SOCS3/TAF7/TARDBP/UBE2B/ZC3H12A",44
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","28/931","214/17913",6.45671934806397e-06,0.000209151004885649,0.000164822533822527,"AKT1/BCL6/CD274/CD55/CD83/CYLD/EFNB2/EGR3/GATA3/GRB2/HLA-E/HSPD1/HSPH1/ICAM1/IFNG/IL6ST/NCK2/NFKBID/NFKBIZ/NR4A3/PNP/RARA/RPS3/RUNX1/TFRC/TNF/TRAF6/XBP1",28
"GO:0030098","GO:0030098","lymphocyte differentiation","37/931","325/17913",6.47044871957146e-06,0.000209151004885649,0.000164822533822527,"BCL6/CD83/CYLD/DNAJB9/EGR1/EGR3/FLT3LG/FNIP1/FOXP1/FZD7/GATA3/GPS2/IFNG/IRF1/IRF2BP2/ITFG2/ITM2A/KLF6/LEF1/NFKBID/NFKBIZ/NRARP/PNP/PRR7/PTGER4/PTPN2/RARA/RUNX1/SATB1/SOD1/STAT3/TCF7/XBP1/ZBTB7A/ZC3H12A/ZFP36L1/ZFP36L2",37
"GO:0045637","GO:0045637","regulation of myeloid cell differentiation","31/931","250/17913",6.47203149476456e-06,0.000209151004885649,0.000164822533822527,"CEBPB/CNOT4/CUL4A/FOS/FOXP1/GNAS/HAX1/HSPA1A/HSPA9/IFNG/JUN/KLF10/LDB1/LEF1/MYC/NR4A3/PAF1/PTPN2/RARA/RUNX1/SIN3A/SMAP1/STAT3/TNF/TNRC6B/TNRC6C/TOB2/TRAF6/WDR61/ZFP36/ZFP36L1",31
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","31/931","251/17913",7.0255993914792e-06,0.000225584790717431,0.000177773263954433,"AKT1/BCL6/CD274/CD55/CD83/CITED2/CYLD/EFNB2/EGR3/FLOT1/GATA3/GRB2/HLA-E/HSPD1/HSPH1/ICAM1/IFNG/IL6ST/ITGA6/NCK2/NFKBID/NFKBIZ/NR4A3/PNP/RARA/RPS3/RUNX1/TFRC/TNF/TRAF6/XBP1",31
"GO:0090084","GO:0090084","negative regulation of inclusion body assembly","6/931","11/17913",7.15369616858654e-06,0.000228234803238535,0.00017986162006168,"DNAJA4/DNAJB1/DNAJB2/DNAJB6/HSPA1A/HSPA2",6
"GO:0007051","GO:0007051","spindle organization","22/931","147/17913",7.28319556777587e-06,0.000230895737968287,0.000181958583472082,"CEP120/CEP63/CHD3/CHMP1B/CSNK1D/DYNC1H1/GOLGA2/HNRNPU/HSPA1A/KIF2A/MECP2/MLH1/NUMA1/NUP62/PLK2/RNF4/RPS3/SBDS/SMC3/STMN1/TPR/ZNF207",22
"GO:0090083","GO:0090083","regulation of inclusion body assembly","7/931","16/17913",7.57741940281069e-06,0.000238712539551439,0.000188118654488845,"CDC34/DNAJA4/DNAJB1/DNAJB2/DNAJB6/HSPA1A/HSPA2",7
"GO:2000058","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","21/931","137/17913",7.99026969235931e-06,0.000249955551160352,0.00019697876808089,"AKT1/CSNK1D/DNAJB2/FHIT/GSK3A/HERPUD1/HSP90AB1/HSPA1A/PLK2/PLK3/RAD23A/RAD23B/RNF139/RPL11/RPL23/SDCBP/SUMO1/TAF1/UBQLN1/UBXN1/ZFAND2A",21
"GO:0042176","GO:0042176","regulation of protein catabolic process","39/931","354/17913",8.0341073541259e-06,0.000249955551160352,0.00019697876808089,"AKT1/ATXN3/CDKN1B/CHMP6/CSNK1D/DERL2/DNAJB2/EEF1A1/EGLN1/FHIT/GSK3A/HERPUD1/HSP90AA1/HSP90AB1/HSPA1A/IFNG/LRIG2/MYLIP/OAZ1/OAZ2/ODC1/PLK2/PLK3/PSMC6/RAD23A/RAD23B/RNF139/RPL11/RPL23/SDCBP/STX5/SUMO1/TAF1/TNF/UBB/UBQLN1/UBXN1/USP19/ZFAND2A",39
"GO:0070059","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","13/931","59/17913",8.09203773138507e-06,0.000250203808620419,0.00019717440865948,"ATF4/CEBPB/CREB3/DDIT3/HERPUD1/HSPA1A/NCK2/PMAIP1/PPP1R15A/PTPN2/SERINC3/SIRT1/XBP1",13
"GO:0051851","GO:0051851","modification by host of symbiont morphology or physiology","15/931","77/17913",8.32930546090292e-06,0.000255960067813882,0.000201710658562389,"CALM1/CALM2/CCNK/CHD1/GTF2B/HSPA8/JUN/LEF1/SMC3/SUGT1/TAF11/TARDBP/TBC1D20/YTHDC2/ZC3H12A",15
"GO:0001701","GO:0001701","in utero embryonic development","38/931","342/17913",8.59940129846446e-06,0.000262648787219564,0.000206981738570229,"AKT1/APBA3/CCM2/CDKN1C/CEBPB/CHD8/CNOT3/CUL4A/DNAJB6/EGLN1/ENDOG/EPN1/FGFR1/GATA3/GGNBP2/GRB2/JUNB/KDM4C/KLF2/MAFF/MAFG/NASP/POLG2/RBBP6/RTN4/SBDS/SIN3A/SKIL/SMAD4/SNAI1/SOCS3/SPINT2/SUPT6H/TMED2/TRIM28/UBE2B/ZFP36L1/ZNF335",38
"GO:1902373","GO:1902373","negative regulation of mRNA catabolic process","11/931","43/17913",8.74544779619076e-06,0.000265490594006785,0.00020922123914332,"CIRBP/DHX9/HNRNPA0/HNRNPC/HNRNPU/PABPC1/SECISBP2/SYNCRIP/TARDBP/TOB1/ZFP36",11
"GO:0031056","GO:0031056","regulation of histone modification","21/931","138/17913",8.97140995836214e-06,0.000270709593261663,0.000213334098565999,"BCL6/CAMK2D/GATA3/KDM3A/KDM4C/MECP2/MTF2/MTHFR/PAF1/RNF20/SIN3A/SIRT1/SMAD4/SUPT6H/TAF7/UBE2B/UBE2N/WDR61/ZNF274/ZNF335/ZNF451",21
"GO:0043254","GO:0043254","regulation of protein complex assembly","43/931","409/17913",9.17915398058919e-06,0.00027531965442378,0.000216967081167409,"ARFGEF1/ATXN2L/BCLAF1/CDKN1B/CNOT6/CUL4A/DDX3X/DHX36/EPS8/ERCC5/FKBP4/FNIP1/GRB2/GTF2B/HAX1/HIP1R/HSP90AA1/HSPA1A/HSPA8/ICAM1/IFNG/INSIG1/JMY/JUN/LCMT1/LMO4/MECP2/MYADM/NCK2/NUMA1/PMAIP1/PTGER4/RNF4/RPS3/SPTAN1/STMN1/SUMO1/TAF1/TAF7/THRA/TNF/VDAC2/ZNF451",43
"GO:1903573","GO:1903573","negative regulation of response to endoplasmic reticulum stress","11/931","44/17913",1.11171417666657e-05,0.000331462875650168,0.000261211037750603,"CREB3/DERL2/DNAJB9/HERPUD1/HSPA1A/HSPA5/NCK2/PPP1R15A/PPP1R15B/UBXN1/XBP1",11
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","34/931","295/17913",1.1686885038192e-05,0.000346388208025465,0.000272973023314979,"AKT1/BCL6/CD274/CD55/CD83/CEBPB/CYLD/EFNB2/EGR3/GATA3/GRB2/HLA-E/HSPD1/HSPH1/ICAM1/IFNG/IL6ST/IRF1/NCK2/NFKBID/NFKBIZ/NR4A3/NRARP/PELI1/PNP/PTPN2/RARA/RPS3/RUNX1/TFRC/TNF/TRAF6/XBP1/ZC3H12A",34
"GO:0031124","GO:0031124","mRNA 3'-end processing","16/931","89/17913",1.23293628677124e-05,0.00036328105061395,0.000286285515504158,"AHCYL1/DHX36/MAGOHB/PABPC1/PAF1/PCF11/RBM8A/RNF20/SRRM1/SRSF2/SRSF3/SRSF5/SRSF6/SRSF7/SYMPK/ZFP36L1",16
"GO:0046632","GO:0046632","alpha-beta T cell differentiation","17/931","99/17913",1.25447169011522e-05,0.00036450507965457,0.00028725011793606,"BCL6/CD83/FOXP1/GATA3/IFNG/IRF1/LEF1/NFKBID/NFKBIZ/PNP/PTGER4/RARA/RUNX1/SATB1/STAT3/TCF7/ZC3H12A",17
"GO:0016578","GO:0016578","histone deubiquitination","8/931","23/17913",1.25892151687444e-05,0.00036450507965457,0.00028725011793606,"ASXL1/ENY2/MYSM1/USP15/USP16/USP22/USP3/USP51",8
"GO:0070841","GO:0070841","inclusion body assembly","8/931","23/17913",1.25892151687444e-05,0.00036450507965457,0.00028725011793606,"BAG3/CDC34/DNAJA4/DNAJB1/DNAJB2/DNAJB6/HSPA1A/HSPA2",8
"GO:0051249","GO:0051249","regulation of lymphocyte activation","42/931","401/17913",1.27548818986566e-05,0.000364597606875242,0.000287323034492053,"AKT1/BCL6/CD274/CD55/CD83/CDKN1A/CEBPB/CYLD/EFNB2/EGR3/EXOSC6/FLT3LG/GATA3/GRB2/HLA-E/HSPD1/HSPH1/IFNG/IL6ST/IRF1/IRS2/LAT/MLH1/NCK2/NFKBID/NFKBIZ/NRARP/PELI1/PNP/PTPN2/RARA/RPS3/RUNX1/SOD1/SUPT6H/TFRC/TRAF6/XBP1/ZC3H12A/ZFP36L1/ZFP36L2/ZNF335",42
"GO:0051403","GO:0051403","stress-activated MAPK cascade","32/931","271/17913",1.28054584807717e-05,0.000364597606875242,0.000287323034492053,"AKT1/CCM2/CRKL/CYLD/DNAJA1/DUSP1/FZD7/GADD45A/GADD45B/GADD45G/GPS2/IGBP1/MAP3K11/MAP3K12/MYC/NBR1/PER1/PTGER4/RPS27A/RPS3/SDCBP/SH2D3A/SKP1/TNF/TRAF6/UBA52/UBB/UBC/UBE2N/ZC3H12A/ZFP36/ZFP36L1",32
"GO:1903050","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","26/931","198/17913",1.28107763645523e-05,0.000364597606875242,0.000287323034492053,"AKT1/ATXN3/CSNK1D/DERL2/DNAJB2/FHIT/GSK3A/HERPUD1/HSP90AB1/HSPA1A/PLK2/PLK3/PSMC6/RAD23A/RAD23B/RNF139/RPL11/RPL23/SDCBP/SUMO1/TAF1/UBB/UBQLN1/UBXN1/USP19/ZFAND2A",26
"GO:0048545","GO:0048545","response to steroid hormone","40/931","375/17913",1.33303455583141e-05,0.000377241248031611,0.000297286921461063,"ATP1A1/BUD31/CALR/CDKN1A/DDIT4/DDX17/DDX5/DUSP1/ERRFI1/FBXO32/FKBP4/FOS/FOSB/FOXP1/GRIP1/HNRNPU/ICAM1/KDM3A/LBH/LEF1/NR1D2/NR4A1/NR4A2/NR4A3/PCNA/PDCD7/PER1/RARA/RNF4/RPL27/RUNX1/SIRT1/TAF1/TAF7/THRA/TNF/ZBTB7A/ZFP36/ZFP36L1/ZFP36L2",40
"GO:0060211","GO:0060211","regulation of nuclear-transcribed mRNA poly(A) tail shortening","6/931","12/17913",1.3676870206932e-05,0.000382723144505712,0.000301606958400441,"CNOT7/PABPC1/TNRC6B/TNRC6C/TOB1/ZFP36",6
"GO:0097201","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","6/931","12/17913",1.3676870206932e-05,0.000382723144505712,0.000301606958400441,"BAG3/CITED2/DNAJB1/HSPA1A/JUN/NCK2",6
"GO:0051348","GO:0051348","negative regulation of transferase activity","32/931","272/17913",1.38083818943335e-05,0.000384256582826202,0.000302815392419594,"AKT1/CDKN1A/CDKN1B/CDKN1C/CHMP6/DNAJA1/DUSP1/EIF4A2/ERRFI1/GADD45A/GADD45B/GGNBP2/GPS2/GSK3A/HEXIM1/HNRNPU/IRS2/MIDN/MLLT1/NUP62/POT1/PPP2CA/PRKAG2/PRKAR2A/PTPN2/RGS2/RPL11/RPL23/SIRT1/SOCS3/TAF7/ZFP36",32
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","41/931","389/17913",1.38931258516752e-05,0.000384478825364868,0.00030299053180449,"AKT1/BCL6/CD274/CD55/CD83/CEBPB/CITED2/CYLD/EFNB2/EGR3/FLOT1/FXYD5/GATA3/GRB2/HLA-E/HSPD1/HSPH1/ICAM1/IFNG/IL6ST/IRF1/ITGA6/MYADM/NCK2/NFKBID/NFKBIZ/NR4A3/NRARP/PELI1/PNP/PTPN2/RARA/RPS3/RUNX1/SPINT2/TFRC/TNF/TRAF6/XBP1/ZC3H12A/ZNF703",41
"GO:0035710","GO:0035710","CD4-positive, alpha-beta T cell activation","16/931","90/17913",1.42821676452255e-05,0.000393073504038102,0.00030976361289529,"BCL6/CD274/CD55/CD83/FOXP1/GATA3/IFNG/LEF1/NFKBID/NFKBIZ/PTGER4/RARA/RUNX1/SATB1/STAT3/ZC3H12A",16
"GO:0042149","GO:0042149","cellular response to glucose starvation","10/931","38/17913",1.71049991868253e-05,0.000468190934026273,0.000368960293072159,"ATF4/CPEB4/HNRNPA1/HSPA5/ITFG2/NUAK2/PMAIP1/SLC2A1/XBP1/ZC3H12A",10
"GO:0030218","GO:0030218","erythrocyte differentiation","18/931","112/17913",1.80741416098188e-05,0.000489369596343688,0.000385650247720173,"ARID4A/BCL6/BPGM/GATA3/HSPA1A/HSPA9/KLF2/L3MBTL3/LDB1/PTPN2/RPS14/RPS19/SMAP1/STAT3/THRA/ZBTB7A/ZFP36/ZFP36L1",18
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response","18/931","112/17913",1.80741416098188e-05,0.000489369596343688,0.000385650247720173,"ATF3/ATF4/CALR/CREB3/CTDSP2/DDIT3/DERL2/DNAJB9/GSK3A/HERPUD1/HSPA5/NCK2/PPP1R15A/PPP1R15B/PTPN2/SERP1/TSPYL2/XBP1",18
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","30/931","251/17913",1.8722031090132e-05,0.000504186310378878,0.000397326636038456,"ATF3/ATF4/BAIAP2/CDKN1A/CPEB4/DCTPP1/FNIP1/FOS/HNRNPA1/HSPA5/HSPA8/ICAM1/ITFG2/ITGA6/JUN/KCNB1/KLF10/MAX/NR4A2/NUAK2/PMAIP1/SIPA1/SIRT1/SLC2A1/SLC38A2/SOD1/TAF1/TXN2/XBP1/ZC3H12A",30
"GO:2001022","GO:2001022","positive regulation of response to DNA damage stimulus","16/931","92/17913",1.90303923152117e-05,0.000506990419618481,0.000399536428863689,"BCLAF1/DDX5/DHX9/EYA3/FUS/MYC/PCNA/PMAIP1/RAD9A/RPL26/RPS3/SIRT1/SKIL/SMCHD1/TRIM28/UBE2N",16
